"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"193372231726940163","","","2012-04-20 16:15:07 +0000","web","Awesome, love dealing with people on 4-20","","","",""
"192272605686939648","","","2012-04-17 15:25:36 +0000","web","Just set up my first ssl web server ... nbd","","","",""
"191641087142670336","","","2012-04-15 21:36:10 +0000","web","RT @TheHangoverBaby: How come I can't get reception in my house, yet a terrorist can upload a video from a cave in Afganistan?","191626917638713344","379961664","2012-04-15 20:39:52 +0000",""
"191547842437976064","","","2012-04-15 15:25:39 +0000","web","RT @benchprep: Student sleep: How sleep deprivation affects #college students [INFOGRAPHIC] via @schoolsEDU http://t.co/hamN4C77","189502952791224321","33389501","2012-04-09 23:59:59 +0000","http://bit.ly/Ib8TMC,http://bit.ly/Ib8TMC"
"191381814772891648","","","2012-04-15 04:25:55 +0000","web","Just completed the Kryptos competition, no big deal, we just achieved the Turing level of achievement!","","","",""
"190440832149630978","","","2012-04-12 14:06:47 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Just deemed 30 min of college humor is a suitable way to start my day","","","",""
"188038109114544129","","","2012-04-05 22:59:13 +0000","web","RT @TheHangoverBaby: What? I don't stalk you at all... By the way, you're out of milk.”","187977016283373568","379961664","2012-04-05 18:56:27 +0000",""
"187211407673143297","","","2012-04-03 16:14:12 +0000","web","WOOT - Senior Seminar - not so much","","","",""
"186553094463688705","","","2012-04-01 20:38:18 +0000","web","I'm pregnant ... #AprilFools","","","",""
"186552282903609344","","","2012-04-01 20:35:04 +0000","web","RT @itsWillyFerrell: #NamesOfPeopleIWouldntTrust: Ben Dover","186547608066600960","306025835","2012-04-01 20:16:30 +0000",""
"185969195329138688","","","2012-03-31 05:58:05 +0000","web","Noo, its midnight and I haven't finished my homework ... looks like a fun weekend ... sad day","","","",""
"185960539262955520","","","2012-03-31 05:23:42 +0000","web","Existing? #HowToPissAFemaleOff","","","",""
"185953206201892864","185940383061131266","15436489","2012-03-31 04:54:33 +0000","web","@ee1013 That would have been awesome!, but no such luck","","","",""
"185942575423832065","185939995377410049","158215101","2012-03-31 04:12:19 +0000","web","@duckydork101 check DM's?","","","",""
"185939269104304128","185938993085550592","158215101","2012-03-31 03:59:10 +0000","web","@duckydork101 Where are you working?","","","",""
"185939211587829762","185938704727150594","15436489","2012-03-31 03:58:57 +0000","web","@ee1013 I did, oh...nope...not me","","","",""
"185938416993697793","185937975429955587","158215101","2012-03-31 03:55:47 +0000","web","@duckydork101 Things are going swimmingly, how about you?","","","",""
"185937533199319040","185937279808843776","158215101","2012-03-31 03:52:17 +0000","web","@duckydork101 Aww thanks! It shouldn't be too bad, but I say that now...","","","",""
"185936664441528320","","","2012-03-31 03:48:49 +0000","web","Just started working on network security project - NBD","","","",""
"182337171494141952","","","2012-03-21 05:25:44 +0000","web","Well, this will be interesting!","","","",""
